depth (m abs)	year
2.449	1799.869415
2.45	1799.868649
2.451	1799.867882
2.452	1799.867116
2.453	1799.86635
2.454	1799.865585
2.455	1799.864819
2.456	1799.864053
2.457	1799.863287
2.458	1799.862521
2.459	1799.861754
2.46	1799.860988
2.461	1799.860222
2.462	1799.859456
2.463	1799.85869
2.464	1799.857924
2.465	1799.857158
2.466	1799.856392
2.467	1799.855626
2.468	1799.85486
2.469	1799.854094
2.47	1799.853328
2.471	1799.852562
2.472	1799.851796
2.473	1799.85103
2.474	1799.850263
2.475	1799.849497
2.476	1799.848731
2.477	1799.847965
2.478	1799.8472
2.479	1799.846434
2.48	1799.845668
2.481	1799.844725
2.482	1799.842592
2.483	1799.840459
2.484	1799.838326
2.485	1799.836192
2.486	1799.83406
2.487	1799.831927
2.488	1799.829793
2.489	1799.82766
2.49	1799.825527
2.491	1799.823394
2.492	1799.821261
2.493	1799.819127
2.494	1799.816995
2.495	1799.814861
2.496	1799.812728
2.497	1799.810595
2.498	1799.808462
2.499	1799.806329
2.5	1799.804195
2.501	1799.802062
2.502	1799.79993
2.503	1799.797796
2.504	1799.795663
2.505	1799.793529
2.506	1799.791397
2.507	1799.789264
2.508	1799.78713
2.509	1799.784997
2.51	1799.782864
2.511	1799.780731
2.512	1799.778598
2.513	1799.776464
2.514	1799.774332
2.515	1799.772198
2.516	1799.770065
2.517	1799.767932
2.518	1799.765799
2.519	1799.763666
2.52	1799.761532
2.521	1799.7594
2.522	1799.757267
2.523	1799.755133
2.524	1799.753
2.525	1799.750867
2.526	1799.748734
2.527	1799.746601
2.528	1799.744467
2.529	1799.742335
2.53	1799.740201
2.531	1799.738068
2.532	1799.735935
2.533	1799.733802
2.534	1799.731669
2.535	1799.729535
2.536	1799.727402
2.537	1799.72527
2.538	1799.723136
2.539	1799.721003
2.54	1799.718869
2.541	1799.716737
2.542	1799.714603
2.543	1799.71247
2.544	1799.710337
2.545	1799.708204
2.546	1799.706071
2.547	1799.703937
2.548	1799.701804
2.549	1799.699672
2.55	1799.697538
2.551	1799.695405
2.552	1799.693272
2.553	1799.691139
2.554	1799.689006
2.555	1799.686872
2.556	1799.68474
2.557	1799.682606
2.558	1799.680473
2.559	1799.67834
2.56	1799.676207
2.561	1799.674074
2.562	1799.67194
2.563	1799.669807
2.564	1799.667675
2.565	1799.665541
2.566	1799.663408
2.567	1799.661274
2.568	1799.659142
2.569	1799.657009
2.57	1799.654875
2.571	1799.652742
2.572	1799.650609
2.573	1799.648476
2.574	1799.646343
2.575	1799.644209
2.576	1799.642077
2.577	1799.639943
2.578	1799.63781
2.579	1799.635677
2.58	1799.633544
2.581	1799.631411
2.582	1799.629277
2.583	1799.627144
2.584	1799.625012
2.585	1799.622878
2.586	1799.620745
2.587	1799.618612
2.588	1799.616479
2.589	1799.614346
2.59	1799.612212
2.591	1799.61008
2.592	1799.607946
2.593	1799.605813
2.594	1799.60368
2.595	1799.601547
2.596	1799.599414
2.597	1799.59728
2.598	1799.595147
2.599	1799.593015
2.6	1799.590881
2.601	1799.588748
2.602	1799.586614
2.603	1799.584482
2.604	1799.582349
2.605	1799.580215
2.606	1799.578082
2.607	1799.575949
2.608	1799.573816
2.609	1799.571683
2.61	1799.569549
2.611	1799.567417
2.612	1799.565283
2.613	1799.56315
2.614	1799.561017
2.615	1799.558884
2.616	1799.556751
2.617	1799.554617
2.618	1799.552484
2.619	1799.550351
2.62	1799.548218
2.621	1799.546085
2.622	1799.543952
2.623	1799.541819
2.624	1799.539685
2.625	1799.537552
2.626	1799.53542
2.627	1799.533286
2.628	1799.531153
2.629	1799.529019
2.63	1799.526887
2.631	1799.524754
2.632	1799.52262
2.633	1799.520487
2.634	1799.518354
2.635	1799.516221
2.636	1799.514088
2.637	1799.511954
2.638	1799.509822
2.639	1799.507688
2.64	1799.505555
2.641	1799.503422
2.642	1799.501289
2.643	1799.499156
2.644	1799.497022
2.645	1799.494889
2.646	1799.492757
2.647	1799.490623
2.648	1799.48849
2.649	1799.486356
2.65	1799.484224
2.651	1799.482091
2.652	1799.479957
2.653	1799.477824
2.654	1799.475691
2.655	1799.473558
2.656	1799.471425
2.657	1799.469292
2.658	1799.467159
2.659	1799.465025
2.66	1799.462892
2.661	1799.460759
2.662	1799.458626
2.663	1799.456493
2.664	1799.454359
2.665	1799.452227
2.666	1799.450094
2.667	1799.44796
2.668	1799.445827
2.669	1799.443694
2.67	1799.441561
2.671	1799.439428
2.672	1799.437294
2.673	1799.435162
2.674	1799.433028
2.675	1799.430895
2.676	1799.428762
2.677	1799.426629
2.678	1799.424496
2.679	1799.422362
2.68	1799.420229
2.681	1799.418097
2.682	1799.415963
2.683	1799.41383
2.684	1799.411696
